lat,lon,name,admin1,admin2,cc
29.4696831,50.9909728,296,91,7,
28.9436694,51.4581903,297,91,7,
29.48306,51.2369657,298,91,7,
28.3963734,51.5007714,299,92,7,
28.6543108,51.3758834,300,92,7,
28.3952701,51.7645229,301,92,7,
28.3366456,51.523857,302,92,7,
28.0860502,51.78362048,303,93,7,
28.0623996,51.4771795,304,93,7,
27.874025,51.9596196,305,93,7,
-1,-1,306,93,7,
27.9471043,51.9598451,307,93,7,
29.8407369,50.2645174,308,94,7,
-1,-1,309,94,7,
27.4760027,52.6070411,310,95,7,
27.4980795,52.583854,311,95,7,
-1,-1,312,96,7,
27.8720312,52.0270259,313,96,7,
27.664912,52.3480157,314,96,7,
29.54033985,50.71408518,315,97,7,
-1,-1,316,97,7,
-1,-1,317,98,8,
35.549802,51.2333035,318,98,8,
35.6122189,51.2982423,319,98,8,
35.5031697,51.19386005,320,99,8,
35.5181918,51.181869,321,99,8,
35.5613083,51.164113,322,99,8,
35.4751698,51.6806973,323,100,8,
35.422537,51.7902387,324,100,8,
-1,-1,325,100,8,
35.7285207,51.864313,326,101,8,
35.7371227,51.8172149,327,101,8,
35.2971756,51.6890712,328,102,8,
35.7006177,51.4013785,329,103,8,
35.6231852,52.1528132,330,104,8,
35.7620424,51.9628205,331,104,8,
35.7179802,52.0681882,332,104,8,
35.734772,51.9063798,333,104,8,
35.5505069,52.1684289,334,104,8,
-1,-1,335,105,8,
-1,-1,336,105,8,
-1,-1,337,105,8,
35.5338489,51.4053842,338,106,8,
35.2958052,51.09166791,339,106,8,
35.5991639,51.43353248,340,106,8,
35.517323,51.3618852,341,106,8,
35.78263865,51.44469258,342,107,8,
36.011362,51.4909361,343,107,8,
35.9293609,51.5271914,344,107,8,
35.8204845,51.6321444,345,107,8,
35.5712032,51.0204962,346,108,8,
35.6452441,51.1310219,347,108,8,
35.5735353,51.0868332,348,108,8,
35.6589015,51.0586022,349,108,8,
35.5842473,51.12887225,350,108,8,
35.6000722,51.0627593,351,108,8,
35.6062379,51.0263766,352,108,8,
35.8154903,52.5141334,353,109,8,
35.7556732,52.7730592,354,109,8,
35.7133433,51.1069545,355,110,8,
35.4421824,51.5697005,356,111,8,
35.692438,50.8482841,357,112,8,
35.666763,50.9790423,358,112,8,
35.2110306,51.6725017,359,113,8,
35.3283255,51.6460307,360,113,8,
31.997682,50.6609476,361,114,9,
32.1607711,50.4515108,362,114,9,
31.7499228,50.5502639,363,114,9,
32.0583082,50.5827861,364,114,9,
31.9719093,51.291596,365,115,9,
31.9365711,51.0513348,366,115,9,
-1,-1,367,115,9,
-1,-1,368,115,9,
31.8650116,51.153733,369,115,9,
31.9333253,51.3258702,370,115,9,
32.5422671,50.7453326,371,116,9,
32.4755949,50.7685061,372,116,9,
32.4529354,50.9104233,373,117,9,
32.5215922,50.4018883,374,118,9,
32.3163942,50.6761962,375,118,9,
32.3257366,50.8497369,376,118,9,
32.2224453,50.8392836,377,118,9,
